participant,trial,frame,t_ms,dot,x,y
01_SV,0,19,1000,8,955.0,394.0
01_SV,0,19,1000,9,565.0,1227.0
01_SV,0,20,1050,0,676.0,116.0
01_SV,0,20,1050,1,831.0,733.0
01_SV,0,20,1050,2,1002.0,741.0
01_SV,0,20,1050,3,721.0,828.0
01_SV,0,20,1050,4,690.0,446.0
01_SV,0,20,1050,5,510.0,629.0
01_SV,0,20,1050,6,447.0,783.0
01_SV,0,20,1050,7,1164.0,482.0
01_SV,0,20,1050,8,944.0,391.0
01_SV,0,20,1050,9,555.0,1231.0
01_SV,0,21,1100,0,678.0,105.0
01_SV,0,21,1100,1,838.0,742.0
01_SV,0,21,1100,2,996.0,750.0
01_SV,0,21,1100,3,728.0,837.0
01_SV,0,21,1100,4,679.0,447.0
01_SV,0,21,1100,5,515.0,619.0
01_SV,0,21,1100,6,443.0,773.0
01_SV,0,21,1100,7,1172.0,475.0
01_SV,0,21,1100,8,934.0,388.0
01_SV,0,21,1100,9,545.0,1235.0
01_SV,0,22,1150,0,680.0,94.0
01_SV,0,22,1150,1,845.0,750.0
01_SV,0,22,1150,2,996.0,750.0
01_SV,0,22,1150,3,734.0,846.0
01_SV,0,22,1150,4,668.0,448.0
01_SV,0,22,1150,5,520.0,609.0
01_SV,0,22,1150,6,439.0,763.0
01_SV,0,22,1150,7,1180.0,468.0
01_SV,0,22,1150,8,924.0,384.0
01_SV,0,22,1150,9,535.0,1239.0
01_SV,0,23,1200,0,681.0,83.0
01_SV,0,23,1200,1,852.0,759.0
01_SV,0,23,1200,2,1002.0,741.0
01_SV,0,23,1200,3,741.0,855.0
01_SV,0,23,1200,4,657.0,449.0
01_SV,0,23,1200,5,525.0,599.0
01_SV,0,23,1200,6,435.0,753.0
01_SV,0,23,1200,7,1188.0,461.0
01_SV,0,23,1200,8,914.0,380.0
01_SV,0,23,1200,9,525.0,1243.0
01_SV,0,24,1250,0,683.0,72.0
01_SV,0,24,1250,1,859.0,768.0
01_SV,0,24,1250,2,1008.0,732.0
01_SV,0,24,1250,3,748.0,864.0
01_SV,0,24,1250,4,646.0,450.0
01_SV,0,24,1250,5,530.0,589.0
01_SV,0,24,1250,6,431.0,743.0
01_SV,0,24,1250,7,1196.0,454.0
01_SV,0,24,1250,8,904.0,376.0
01_SV,0,24,1250,9,515.0,1247.0
01_SV,0,25,1300,0,685.0,61.0
01_SV,0,25,1300,1,865.0,777.0
01_SV,0,25,1300,2,1014.0,723.0
01_SV,0,25,1300,3,755.0,872.0
01_SV,0,25,1300,4,635.0,451.0
01_SV,0,25,1300,5,535.0,579.0
01_SV,0,25,1300,6,426.0,733.0
01_SV,0,25,1300,7,1204.0,447.0
01_SV,0,25,1300,8,894.0,372.0
01_SV,0,25,1300,9,505.0,1251.0
01_SV,0,26,1350,0,687.0,50.0
01_SV,0,26,1350,1,872.0,786.0
01_SV,0,26,1350,2,1020.0,714.0
01_SV,0,26,1350,3,762.0,881.0
01_SV,0,26,1350,4,624.0,452.0
01_SV,0,26,1350,5,539.0,569.0
01_SV,0,26,1350,6,422.0,723.0
01_SV,0,26,1350,7,1212.0,440.0
01_SV,0,26,1350,8,884.0,368.0
01_SV,0,26,1350,9,495.0,1255.0
01_SV,0,27,1400,0,689.0,39.0
01_SV,0,27,1400,1,879.0,795.0
01_SV,0,27,1400,2,1026.0,705.0
01_SV,0,27,1400,3,769.0,890.0
01_SV,0,27,1400,4,613.0,453.0
01_SV,0,27,1400,5,543.0,559.0
01_SV,0,27,1400,6,417.0,713.0
01_SV,0,27,1400,7,1220.0,433.0
01_SV,0,27,1400,8,874.0,364.0
01_SV,0,27,1400,9,485.0,1260.0
01_SV,0,28,1450,0,691.0,28.0
01_SV,0,28,1450,1,886.0,804.0
01_SV,0,28,1450,2,1032.0,696.0
01_SV,0,28,1450,3,775.0,899.0
01_SV,0,28,1450,4,602.0,455.0
01_SV,0,28,1450,5,547.0,549.0
01_SV,0,28,1450,6,412.0,703.0
01_SV,0,28,1450,7,1228.0,426.0
01_SV,0,28,1450,8,864.0,360.0
01_SV,0,28,1450,9,475.0,1264.0
01_SV,0,29,1500,0,691.0,28.0
01_SV,0,29,1500,1,893.0,813.0
01_SV,0,29,1500,2,1037.0,686.0
01_SV,0,29,1500,3,781.0,908.0
01_SV,0,29,1500,4,591.0,456.0
01_SV,0,29,1500,5,551.0,539.0
01_SV,0,29,1500,6,407.0,693.0
01_SV,0,29,1500,7,1236.0,418.0
01_SV,0,29,1500,8,854.0,356.0
01_SV,0,29,1500,9,465.0,1269.0
01_SV,0,30,1550,0,693.0,39.0
01_SV,0,30,1550,1,900.0,822.0
01_SV,0,30,1550,2,1042.0,676.0
01_SV,0,30,1550,3,787.0,917.0
01_SV,0,30,1550,4,580.0,457.0
01_SV,0,30,1550,5,554.0,529.0
01_SV,0,30,1550,6,402.0,683.0
01_SV,0,30,1550,7,1244.0,410.0
01_SV,0,30,1550,8,844.0,352.0
01_SV,0,30,1550,9,455.0,1274.0
01_SV,0,31,1600,0,695.0,50.0
01_SV,0,31,1600,1,906.0,831.0
01_SV,0,31,1600,2,1047.0,666.0
01_SV,0,31,1600,3,793.0,926.0
01_SV,0,31,1600,4,569.0,458.0
01_SV,0,31,1600,5,554.0,529.0
01_SV,0,31,1600,6,397.0,673.0
01_SV,0,31,1600,7,1252.0,402.0
01_SV,0,31,1600,8,834.0,348.0
01_SV,0,31,1600,9,445.0,1279.0
01_SV,0,32,1650,0,698.0,61.0
01_SV,0,32,1650,1,912.0,840.0
01_SV,0,32,1650,2,1052.0,656.0
01_SV,0,32,1650,3,799.0,935.0
01_SV,0,32,1650,4,569.0,458.0
01_SV,0,32,1650,5,551.0,539.0
01_SV,0,32,1650,6,392.0,663.0
01_SV,0,32,1650,7,1260.0,395.0
01_SV,0,32,1650,8,824.0,343.0
01_SV,0,32,1650,9,435.0,1284.0
01_SV,0,33,1700,0,701.0,72.0
01_SV,0,33,1700,1,918.0,849.0
01_SV,0,33,1700,2,1057.0,646.0
01_SV,0,33,1700,3,806.0,944.0
01_SV,0,33,1700,4,580.0,457.0
01_SV,0,33,1700,5,547.0,549.0
01_SV,0,33,1700,6,386.0,654.0
01_SV,0,33,1700,7,1268.0,388.0
01_SV,0,33,1700,8,814.0,338.0
01_SV,0,33,1700,9,425.0,1289.0
01_SV,0,34,1750,0,703.0,83.0
01_SV,0,34,1750,1,924.0,858.0
01_SV,0,34,1750,2,1062.0,636.0
01_SV,0,34,1750,3,812.0,953.0
01_SV,0,34,1750,4,591.0,456.0
01_SV,0,34,1750,5,543.0,559.0
01_SV,0,34,1750,6,380.0,645.0
01_SV,0,34,1750,7,1277.0,381.0
01_SV,0,34,1750,8,804.0,333.0
01_SV,0,34,1750,9,415.0,1294.0
01_SV,0,35,1800,0,705.0,94.0
01_SV,0,35,1800,1,930.0,867.0
01_SV,0,35,1800,2,1067.0,626.0
01_SV,0,35,1800,3,818.0,962.0
01_SV,0,35,1800,4,602.0,455.0
01_SV,0,35,1800,5,540.0,570.0
01_SV,0,35,1800,6,374.0,636.0
01_SV,0,35,1800,7,1286.0,374.0
01_SV,0,35,1800,8,794.0,328.0
01_SV,0,35,1800,9,405.0,1298.0
01_SV,0,36,1850,0,707.0,105.0
01_SV,0,36,1850,1,936.0,876.0
01_SV,0,36,1850,2,1072.0,616.0
01_SV,0,36,1850,3,824.0,971.0
01_SV,0,36,1850,4,613.0,454.0
01_SV,0,36,1850,5,537.0,581.0
01_SV,0,36,1850,6,368.0,627.0
01_SV,0,36,1850,7,1295.0,367.0
01_SV,0,36,1850,8,785.0,322.0
01_SV,0,36,1850,9,395.0,1302.0
01_SV,0,37,1900,0,709.0,116.0
01_SV,0,37,1900,1,942.0,885.0
01_SV,0,37,1900,2,1077.0,606.0
01_SV,0,37,1900,3,830.0,980.0
01_SV,0,37,1900,4,624.0,453.0
01_SV,0,37,1900,5,534.0,591.0
01_SV,0,37,1900,6,362.0,618.0
01_SV,0,37,1900,7,1304.0,360.0
01_SV,0,37,1900,8,776.0,316.0
01_SV,0,37,1900,9,385.0,1306.0
01_SV,0,38,1950,0,711.0,127.0
01_SV,0,38,1950,1,949.0,894.0
01_SV,0,38,1950,2,1082.0,596.0
01_SV,0,38,1950,3,836.0,989.0
01_SV,0,38,1950,4,635.0,451.0
01_SV,0,38,1950,5,531.0,601.0
01_SV,0,38,1950,6,357.0,608.0
01_SV,0,38,1950,7,1313.0,354.0
01_SV,0,38,1950,8,776.0,316.0
01_SV,0,38,1950,9,375.0,1310.0
01_SV,0,39,2000,0,713.0,138.0
01_SV,0,39,2000,1,956.0,903.0
01_SV,0,39,2000,2,1088.0,587.0
01_SV,0,39,2000,3,842.0,998.0
01_SV,0,39,2000,4,646.0,449.0
01_SV,0,39,2000,5,528.0,611.0
01_SV,0,39,2000,6,352.0,598.0
01_SV,0,39,2000,7,1322.0,348.0
01_SV,0,39,2000,8,785.0,322.0
01_SV,0,39,2000,9,365.0,1314.0
01_SV,0,40,2050,0,714.0,149.0
01_SV,0,40,2050,1,962.0,912.0
01_SV,0,40,2050,2,1094.0,578.0
01_SV,0,40,2050,3,848.0,1007.0
01_SV,0,40,2050,4,657.0,447.0
01_SV,0,40,2050,5,528.0,611.0
01_SV,0,40,2050,6,346.0,589.0
01_SV,0,40,2050,7,1331.0,342.0
01_SV,0,40,2050,8,794.0,328.0
01_SV,0,40,2050,9,355.0,1318.0
01_SV,0,41,2100,0,716.0,160.0
01_SV,0,41,2100,1,969.0,921.0
01_SV,0,41,2100,2,1100.0,569.0
01_SV,0,41,2100,3,854.0,1016.0
01_SV,0,41,2100,4,668.0,445.0
01_SV,0,41,2100,5,531.0,600.0
01_SV,0,41,2100,6,341.0,579.0
01_SV,0,41,2100,7,1340.0,336.0
01_SV,0,41,2100,8,803.0,335.0
01_SV,0,41,2100,9,345.0,1322.0
01_SV,0,42,2150,0,718.0,171.0
01_SV,0,42,2150,1,976.0,930.0
01_SV,0,42,2150,2,1106.0,559.0
01_SV,0,42,2150,3,859.0,1026.0
01_SV,0,42,2150,4,668.0,445.0
01_SV,0,42,2150,5,534.0,589.0
01_SV,0,42,2150,6,335.0,570.0
01_SV,0,42,2150,7,1340.0,336.0
01_SV,0,42,2150,8,812.0,342.0
01_SV,0,42,2150,9,335.0,1325.0
01_SV,0,43,2200,0,720.0,182.0
01_SV,0,43,2200,1,983.0,938.0
01_SV,0,43,2200,2,1112.0,550.0
01_SV,0,43,2200,3,864.0,1036.0
01_SV,0,43,2200,4,657.0,447.0
01_SV,0,43,2200,5,537.0,579.0
01_SV,0,43,2200,6,329.0,561.0
01_SV,0,43,2200,7,1331.0,330.0
01_SV,0,43,2200,8,820.0,349.0
01_SV,0,43,2200,9,325.0,1329.0
01_SV,0,44,2250,0,723.0,193.0
01_SV,0,44,2250,1,990.0,947.0
01_SV,0,44,2250,2,1118.0,541.0
01_SV,0,44,2250,3,869.0,1046.0
01_SV,0,44,2250,4,646.0,449.0
01_SV,0,44,2250,5,540.0,569.0
01_SV,0,44,2250,6,323.0,552.0
01_SV,0,44,2250,7,1322.0,323.0
01_SV,0,44,2250,8,828.0,356.0
01_SV,0,44,2250,9,315.0,1333.0
01_SV,0,45,2300,0,726.0,204.0
01_SV,0,45,2300,1,997.0,955.0
01_SV,0,45,2300,2,1124.0,532.0
01_SV,0,45,2300,3,874.0,1056.0
01_SV,0,45,2300,4,635.0,451.0
01_SV,0,45,2300,5,543.0,558.0
01_SV,0,45,2300,6,317.0,543.0
01_SV,0,45,2300,7,1313.0,316.0
01_SV,0,45,2300,8,836.0,363.0
01_SV,0,45,2300,9,305.0,1336.0
01_SV,0,46,2350,0,729.0,215.0
01_SV,0,46,2350,1,1004.0,963.0
01_SV,0,46,2350,2,1130.0,523.0
01_SV,0,46,2350,3,879.0,1066.0
01_SV,0,46,2350,4,624.0,454.0
01_SV,0,46,2350,5,546.0,547.0
01_SV,0,46,2350,6,311.0,534.0
01_SV,0,46,2350,7,1304.0,309.0
01_SV,0,46,2350,8,844.0,370.0
01_SV,0,46,2350,9,294.0,1339.0
01_SV,0,47,2400,0,732.0,226.0
01_SV,0,47,2400,1,1011.0,971.0
01_SV,0,47,2400,2,1130.0,523.0
01_SV,0,47,2400,3,884.0,1076.0
01_SV,0,47,2400,4,613.0,457.0
01_SV,0,47,2400,5,549.0,536.0
01_SV,0,47,2400,6,305.0,525.0
01_SV,0,47,2400,7,1295.0,302.0
01_SV,0,47,2400,8,852.0,377.0
01_SV,0,47,2400,9,283.0,1342.0
01_SV,0,48,2450,0,735.0,237.0
01_SV,0,48,2450,1,1018.0,979.0
01_SV,0,48,2450,2,1124.0,532.0
01_SV,0,48,2450,3,889.0,1086.0
01_SV,0,48,2450,4,602.0,459.0
01_SV,0,48,2450,5,552.0,525.0
01_SV,0,48,2450,6,300.0,515.0
01_SV,0,48,2450,7,1286.0,295.0
01_SV,0,48,2450,8,860.0,384.0
01_SV,0,48,2450,9,272.0,1345.0
01_SV,0,49,2500,0,738.0,248.0
01_SV,0,49,2500,1,1026.0,987.0
01_SV,0,49,2500,2,1117.0,541.0
01_SV,0,49,2500,3,894.0,1096.0
01_SV,0,49,2500,4,591.0,461.0
01_SV,0,49,2500,5,554.0,514.0
01_SV,0,49,2500,6,295.0,505.0
01_SV,0,49,2500,7,1277.0,288.0
01_SV,0,49,2500,8,868.0,391.0
01_SV,0,49,2500,9,261.0,1348.0
01_SV,0,50,2550,0,741.0,259.0
01_SV,0,50,2550,1,1034.0,995.0
01_SV,0,50,2550,2,1110.0,550.0
01_SV,0,50,2550,3,899.0,1106.0
01_SV,0,50,2550,4,580.0,463.0
01_SV,0,50,2550,5,554.0,514.0
01_SV,0,50,2550,6,290.0,495.0
